s	sd	sd/s	U	min_Kolmogorov	RMSE
0.001	0.00162	1.6199999999999999	0.00021	0.0062439141393096	0.0024882708799868
0.001	9e-05	0.09000000000000001	0.00597	0.0009772414206021	0.0003155855352939
0.001	0.00167	1.67	0.00018	0.0084309467519632	0.0030052309511235
0.001	0.00018	0.18000000000000002	0.00591	0.0010125486896821	0.0003524355222086
0.001	0.00025	0.25	0.00564	0.0012167040941076	0.0003835874691318
0.001	0.00043	0.43	0.00435	0.0030541886093661	0.001009961712702
0.001	0.00108	1.08	0.00063	0.0080616659708082	0.0031368865647043
0.001	0.00166	1.66	0.00021	0.0085048729088276	0.003021691812441
0.001	0.00134	1.34	0.00036	0.0078165902837184	0.0027209656657753
0.001	0.00158	1.58	0.00021	0.006524349507914	0.0024119676040653
0.001	0.00098	0.98	0.00081	0.0117569884449059	0.004429956347696
0.001	0.00039	0.38999999999999996	0.00453	0.0035886492502645	0.0011426977374721
0.001	0.00087	0.87	0.00111	0.0148779467880782	0.0052965869893583
0.001	0.00092	0.92	0.0009	0.0155584986855558	0.0056539746898572
0.001	0.00181	1.8099999999999998	0.00018	0.006958614018466	0.0028882778510219
0.001	0.00023	0.23	0.00558	0.0002581187377578	8.268742457738779e-05
0.001	0.00199	1.99	0.00018	0.0079480452260719	0.0032588459579237
0.001	0.00139	1.39	0.0003	0.0058526815277851	0.0023517126278
0.001	0.0001	0.1	0.00612	0.0006579930555295	0.0002143424626959
0.001	0.002	2.0	0.00018	0.0090860201293834	0.0036777606110916
0.001	0.0003	0.3	0.00507	0.0012074411594639	0.0004045946885104
0.001	0.00019	0.19	0.00591	0.0009356565489624	0.0003024010482332
0.001	0.00138	1.38	0.0003	0.0084804644713692	0.0030051944849717
0.001	0.00042	0.42	0.00474	0.0009808865344828	0.0002968109950016
0.001	0.00146	1.46	0.00027	0.0061305367954609	0.0021515255713129
0.001	0.00131	1.3099999999999998	0.00036	0.0077619630114607	0.0026602138796918
0.001	0.00142	1.42	0.00027	0.0077964496265847	0.0028244522808949
0.001	0.00183	1.83	0.00015	0.0094240592761423	0.0033948388576236
0.001	0.00133	1.33	0.00033	0.007193419303514	0.0025653436443774
0.001	0.00169	1.6900000000000002	0.00018	0.0085838434967797	0.0030461527177713
0.001	5e-05	0.05	0.00573	0.0010708037019263	0.0004126424708634
0.001	0.00121	1.21	0.00045	0.0058357528700807	0.0022436782581326
0.001	4e-05	0.04	0.00591	0.0006751281370181	0.0002114775802571
0.001	0.00052	0.5199999999999999	0.00387	0.0025454562700284	0.0008190663144721
0.001	0.00097	0.9700000000000001	0.00078	0.0129602295088023	0.0048952635920735
0.001	0.00156	1.5599999999999998	0.00021	0.0065537912428499	0.0025470872965261
0.001	0.00145	1.45	0.00027	0.0062077918094634	0.0021819671850132
0.001	0.00165	1.65	0.00021	0.0079693241374642	0.0028377368425761
