sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
10	3248111675	5000.0	0.001	0.00124	0.006	0.759633	0.00040711857628474306,0.0015807238552289543,0.004763527294541092,0.010156008798240352,0.01585398920215957,0.028093261347730453,0.04468226354729054,0.06449738052389523,0.09615772845430914,0.1342620275944811,0.15609554089182165,0.1690753049390122,0.12379372125574885,0.07869586082783443,0.04218528294341132,0.018164127174565087,0.0073863627274545094,0.0032253549290141973,0.0006550689862027594,0.00020891821635672864,5.91881623675265e-05,1.2397520495900819e-06
13	1954105408	5000.0	0.001	0.00124	0.006	0.819705	0.00027314537092581483,0.002293501299740052,0.010267746450709858,0.02303607278544291,0.05179680063987203,0.10295104979004199,0.15272329534093182,0.18511609678064386,0.17138392321535692,0.11280867826434714,0.07451145770845831,0.05216648670265947,0.026868466306738652,0.015301619676064786,0.009290741851629675,0.005524975004999,0.0028905418916216757,0.0006490301939612078,0.0001139372125574885,3.151369726054789e-05,8.398320335932813e-07,7.998400319936013e-08
1	2065999883	5000.0	0.001	0.00124	0.006	0.868170	0.003536892621475705,0.006736972605478904,0.0085124975004999,0.0051766846630673866,0.0035729654069186164,0.014401719656068786,0.03908242351529694,0.06989014197160567,0.09414945010997801,0.11518340331933613,0.14258256348730253,0.13449334133173366,0.1294003599280144,0.1053381323735253,0.06906130773845232,0.034072905418916215,0.01504243151369726,0.006722255548890222,0.0025536092781443713,0.0004455108978204359,3.8992201559688064e-05,5.438912217556489e-06
12	3657683007	5000.0	0.001	0.00124	0.006	0.436582	0.000842631473705259,0.0015709258148370326,0.012675224955008998,0.048499140171965605,0.10351041791641671,0.10996956608678264,0.11985798840231954,0.11404031193761248,0.10850277944411117,0.10670177964407118,0.07864263147370526,0.062313897220555886,0.05528414317136573,0.03360111977604479,0.022800959808038392,0.012085102979404119,0.004607078584283143,0.0030993801239752048,0.0010507898420315936,0.0001773645270945811,8.230353929214157e-05,7.226554689062187e-05,9.038192361527695e-06,3.1593681263747252e-06
16	1114880079	5000.0	0.001	0.00124	0.006	0.895780	0.0018855828834233154,0.00391625674865027,0.006770805838832233,0.02606502699460108,0.05483999200159968,0.08088298340331934,0.10758600279944011,0.14125346930613877,0.1717011797640472,0.1479239352129574,0.11115264947010597,0.06969550089982003,0.03251657668466307,0.016630513897220554,0.01315620875824835,0.010365686862627475,0.0029286942611477704,0.00046834633073385325,0.00018184363127374525,7.62247550489902e-05,2.519496100779844e-06
3	792707093	5000.0	0.001	0.00124	0.006	0.644206	0.0009044591081783643,0.00686750649870026,0.02493125374925015,0.06830169966006798,0.14284443111377723,0.20263347330533893,0.19373377324535093,0.1475376924615077,0.09271625674865026,0.059265666866626675,0.03055908818236353,0.017478504299140173,0.007601079784043192,0.0029000599880023995,0.00112749450109978,0.0004205958808238352,0.00011041791641671665,6.190761847630475e-05,4.639072185562888e-06
18	322150490	5000.0	0.001	0.00124	0.006	0.547499	0.003898020395920816,0.016826914617076586,0.02740867826434713,0.049574805038992205,0.08943235352929414,0.15169138172365526,0.1445881623675265,0.1270618676264747,0.12004331133773245,0.08783999200159968,0.07275956808638272,0.05451609678064387,0.028032353529294143,0.01275872825434913,0.007125694861027794,0.004404839032193561,0.0016286742651469707,0.0002784643071385723,7.914417116576685e-05,4.6750649870025995e-05,4.1991601679664066e-06
0	3163222024	5000.0	0.001	0.00124	0.006	0.454217	0.006766446710657868,0.049069586082783445,0.14401719656068787,0.1728620675864827,0.1639246550689862,0.14007074585082985,0.11457168566286742,0.07769778044391122,0.05055308938212358,0.03573517296540692,0.019776604679064187,0.014334653069386123,0.0068034793041391725,0.002150369926014797,0.0012379124175164967,0.0002503099380123975,0.00017288542291541692,5.358928214357128e-06
15	2552735816	5000.0	0.001	0.00124	0.006	0.593935	0.0025777244551089783,0.011966006798640271,0.026190321935612878,0.04281191761647671,0.058349690061987605,0.06438556288742252,0.06881819636072785,0.0887386922615477,0.10143591281743651,0.1104250349930014,0.09341527694461108,0.06620215956808638,0.06093581283743251,0.06305082983403319,0.037656748650269946,0.028559368126374725,0.026489822035592882,0.02515512897420516,0.013894221155768846,0.006764607078584283,0.0016798240351929615,0.00032877424515096983,0.00016100779844031193,7.278544291141772e-06,7.998400319936013e-08
14	2056202308	5000.0	0.001	0.00124	0.006	0.766035	0.0024093981203759246,0.010922575484903019,0.021169566086782644,0.03625262947410518,0.03429058188362327,0.025490701859628075,0.033498340331933614,0.056866546690661865,0.07315220955808838,0.09001019796040792,0.1072112377524495,0.13126310737852429,0.13518980203959208,0.115300099980004,0.0734766646670666,0.03349778044391122,0.012069386122775446,0.004445550889822036,0.0017764447110577885,0.0004470305938812238,0.0003888022395520896,0.0005820835832833433,0.0002653869226154769,1.5356928614277145e-05,8.358328334333133e-06,1.5996800639872026e-07
22	3944462446	5000.0	0.001	0.00124	0.006	0.551343	0.0008721855628874225,0.0025145370925814836,0.0029710457908418315,0.004224155168966207,0.007623035392921416,0.02989738052389522,0.056807958408318336,0.10210277944411118,0.14991961607678464,0.19030085982803438,0.17255188962207557,0.12839416116776645,0.07867966406718656,0.04179372125574885,0.017167686462707457,0.007817316536692662,0.003914217156568686,0.001196880623875225,0.0005481703659268146,0.0006137972405518896,8.554289142171566e-05,3.3993201359728056e-06
23	1100726383	5000.0	0.001	0.00124	0.006	0.594246	0.0006727854429114177,0.008949650069986003,0.0455996800639872,0.12348750249950009,0.19647386522695462,0.19399456108778243,0.14688202359528094,0.10359240151969606,0.0737744051189762,0.04956504699060188,0.03185758848230354,0.015542251549690063,0.006347570485902819,0.0021730453909218155,0.0008012397520495901,0.0002703859228154369,1.5556888622275544e-05,4.399120175964807e-07
